term_id,term,regex,term_family,source_basis,equity_financing_access_signal,financing_disclosure_context_signal,general_financing_disclosure_scope,nonfinancing_compensation_accounting_exclusion
term_0005_8d75b358,access equity markets,\baccess\s+equity\s+markets\b,HM equity-focused financing phrase,Hoberg and Maksimovic equity-focused phrase list,1,0,0,0
term_0012_8081dc62,additional equity offering,\badditional\s+equity\s+offering\b,HM equity-focused financing phrase,Hoberg and Maksimovic equity-focused phrase list,1,0,0,0
term_0042_c29d6e03,considering equity offering,\bconsidering\s+equity\s+offering\b,HM equity-focused financing phrase,Hoberg and Maksimovic equity-focused phrase list,1,0,0,0
term_0044_ed68c9a3,consummates equity offering,\bconsummates\s+equity\s+offering\b,HM equity-focused financing phrase,Hoberg and Maksimovic equity-focused phrase list,1,0,0,0
term_0079_dd22737e,equity offering would add,\bequity\s+offering\s+would\s+add\b,HM equity-focused financing phrase,Hoberg and Maksimovic equity-focused phrase list,1,0,0,0
term_0085_a47e577d,expects equity securities,\bexpects\s+equity\s+securities\b,HM equity-focused financing phrase,Hoberg and Maksimovic equity-focused phrase list,1,0,0,0
term_0116_0f9d8580,issuing common stock,\bissuing\s+common\s+stock\b,HM equity-focused financing phrase,Hoberg and Maksimovic equity-focused phrase list,1,0,0,0
term_0119_53056455,issuing equity securities,\bissuing\s+equity\s+securities\b,HM equity-focused financing phrase,Hoberg and Maksimovic equity-focused phrase list,1,0,0,0
term_0128_d79687aa,offering equity securities,\boffering\s+equity\s+securities\b,HM equity-focused financing phrase,Hoberg and Maksimovic equity-focused phrase list,1,0,0,0
term_0132_24bace1f,planned equity offering,\bplanned\s+equity\s+offering\b,HM equity-focused financing phrase,Hoberg and Maksimovic equity-focused phrase list,1,0,0,0
term_0139_8c0b8268,pursue equity offering,\bpursue\s+equity\s+offering\b,HM equity-focused financing phrase,Hoberg and Maksimovic equity-focused phrase list,1,0,0,0
term_0146_4ff2def9,raise equity offering,\braise\s+equity\s+offering\b,HM equity-focused financing phrase,Hoberg and Maksimovic equity-focused phrase list,1,0,0,0
term_0149_c1c63602,raised equity arrangements,\braised\s+equity\s+arrangements\b,HM equity-focused financing phrase,Hoberg and Maksimovic equity-focused phrase list,1,0,0,0
term_0151_2919de11,raises equity capital,\braises\s+equity\s+capital\b,HM equity-focused financing phrase,Hoberg and Maksimovic equity-focused phrase list,1,0,0,0
term_0166_f01aeff4,seek equity financing,\bseek\s+equity\s+financing\b,HM equity-focused financing phrase,Hoberg and Maksimovic equity-focused phrase list,1,0,0,0
term_0167_1f67ff99,seek equity financings,\bseek\s+equity\s+financings\b,HM equity-focused financing phrase,Hoberg and Maksimovic equity-focused phrase list,1,0,0,0
term_0168_e596acbc,seek equity investments,\bseek\s+equity\s+investments\b,HM equity-focused financing phrase,Hoberg and Maksimovic equity-focused phrase list,1,0,0,0
term_0169_5c7b063a,seek equity offering,\bseek\s+equity\s+offering\b,HM equity-focused financing phrase,Hoberg and Maksimovic equity-focused phrase list,1,0,0,0
term_0170_6b7c0ece,sell common stock,\bsell\s+common\s+stock\b,HM equity-focused financing phrase,Hoberg and Maksimovic equity-focused phrase list,1,0,0,0
term_0171_add87805,selling common stock,\bselling\s+common\s+stock\b,HM equity-focused financing phrase,Hoberg and Maksimovic equity-focused phrase list,1,0,0,0
